account_id,customer_id,account_type,currency,balance,opened_date,status
ACC_000050,CUST_02036,checking,EUR,$290.39,2023-11-13,suspended
ACC_000051,CUST_03152,savings,USD,6364.74,2021-11-29,suspended
ACC_000052,CUST_00447,savings,USD,2230.48,2024-11-12,active
ACC_000053,CUST_04141,checking,EUR,6609.94,2021-04-14,active
ACC_000054,CUST_00613,checking,EUR,8454.44,2024-08-19,active
ACC_000055,CUST_02710,checking,GBP,5991.85,2021-06-21,suspended
ACC_000056,CUST_01824,checking,EUR,7429.3,2021-10-06,active
ACC_000057,CUST_00645,checking,EUR,7449.84,2023-03-31,suspended
ACC_000058,CUST_03670,savings,EUR,7969.84,2022-11-06,closed
ACC_000059,CUST_02589,savings,EUR,5135.63,2024-02-06,suspended
ACC_000060,CUST_00145,savings,EUR,7337.23,2021-08-26,closed
ACC_000061,CUST_00293,savings,GBP,5493.21,2025-03-27,suspended
ACC_000062,CUST_02495,savings,USD,6173.96,2025-05-24,suspended
ACC_000063,CUST_03737,checking,EUR,14155.13,2025-02-19,active
ACC_000064,CUST_01826,checking,EUR,5724.8,2023-06-15,suspended
ACC_000065,CUST_04914,checking,USD,506.72,2024-10-09,suspended
ACC_000066,CUST_99999,checking,GBP,4407.74,2021-05-20,active
ACC_000067,CUST_01816,savings,EUR,4068.42,2024-07-06,closed
ACC_000068,CUST_02391,checking,USD,4205.62,2025-07-12,active
ACC_000069,CUST_00375,savings,EUR,7860.33,2021-04-30,active
ACC_000070,CUST_03352,savings,EUR,8391.77,2022-08-16,suspended
ACC_000071,CUST_01604,savings,GBP,4683.09,2025-12-06,closed
ACC_000072,CUST_01766,checking,GBP,824.38,2024-11-05,suspended
ACC_000073,CUST_02768,savings,EUR,5297.29,2022-06-05,active
ACC_000074,CUST_04823,savings,EUR,3369.83,2025-02-03,closed
ACC_000075,CUST_04827,savings,EUR,5631.21,2022-03-09,active
ACC_000076,CUST_04344,savings,USD,4637.11,2023-05-27,closed
ACC_000077,CUST_04793,checking,USD,8649.07,2022-07-29,active
ACC_000078,CUST_04739,savings,USD,5824.42,2022-06-16,active
ACC_000079,CUST_99999,checking,USD,3379.43,2025-12-26,suspended
ACC_000080,CUST_04965,checking,USD,843.4,2021-02-21,closed
ACC_000081,CUST_03429,savings,EUR,4855.96,2021-12-25,closed
ACC_000082,CUST_02808,checking,EUR,4866.69,2023-09-17,active
ACC_000083,CUST_01131,checking,USD,$4212.62,2021-08-23,suspended
ACC_000084,CUST_04196,checking,USD,7325.97,2025-02-06,suspended
ACC_000085,CUST_02571,savings,GBP,851.66,2023-03-11,active
ACC_000086,CUST_02380,checking,USD,2712.37,2025-01-17,active
ACC_000087,CUST_01456,checking,USD,5158.75,2025-12-30,active
ACC_000088,CUST_02885,checking,USD,3321.48,2022-09-16,suspended
ACC_000089,CUST_03419,checking,EUR,3929.87,2026-01-17,active
ACC_000090,CUST_04282,savings,GBP,4819.25,2022-05-26,closed
ACC_000091,CUST_01190,savings,USD,7057.89,2022-03-20,active
ACC_000092,CUST_01637,checking,GBP,4698.28,2021-08-09,closed
ACC_000093,CUST_02052,savings,GBP,-909.05,2025-10-24,suspended
ACC_000094,CUST_02417,savings,USD,3191.61,2021-04-19,active
ACC_000095,CUST_02938,checking,GBP,6487.35,2023-06-15,suspended
ACC_000096,CUST_04602,savings,USD,7288.02,2021-06-30,suspended
ACC_000097,CUST_04597,checking,GBP,7453.57,2023-02-02,suspended
ACC_000098,CUST_02356,savings,EUR,8303.53,2026-01-12,closed
ACC_000099,CUST_03412,checking,USD,5355.31,2025-06-01,active
ACC_000100,CUST_00106,checking,GBP,5789.49,2024-02-24,suspended
ACC_000101,CUST_03629,savings,USD,1958.27,2023-02-12,suspended
ACC_000102,CUST_03012,savings,USD,-1523.73,2022-04-16,active
ACC_000103,CUST_02409,checking,GBP,747.25,2021-04-05,suspended
ACC_000104,CUST_00610,savings,GBP,2894.49,2022-03-05,suspended
ACC_000105,CUST_04209,savings,EUR,920.89,2022-04-24,active
ACC_000106,CUST_03510,checking,USD,4121.22,2025-06-14,closed
ACC_000107,CUST_01065,savings,USD,3613.74,2021-06-21,closed
ACC_000108,CUST_00046,checking,EUR,7813.48,2022-03-19,suspended
ACC_000109,CUST_01268,savings,GBP,2092.59,2022-08-04,closed
ACC_000110,CUST_04889,savings,USD,5421.75,2024-08-07,suspended
ACC_000111,CUST_02467,checking,USD,3740.7,2024-08-26,suspended
ACC_000112,CUST_02933,savings,USD,1980.26,2023-10-06,closed
ACC_000113,CUST_04304,savings,GBP,2816.87,2021-03-10,suspended
ACC_000114,CUST_00558,savings,EUR,-1153.78,2023-04-30,suspended
ACC_000115,CUST_04399,checking,GBP,7245.04,2023-02-12,closed
ACC_000116,CUST_99999,savings,USD,9206.78,2023-01-03,closed
ACC_000117,CUST_02712,checking,EUR,4197.6,2022-01-01,active
ACC_000118,CUST_04345,checking,USD,5087.19,2022-10-23,suspended
ACC_000119,CUST_99999,savings,USD,4112.43,2025-05-06,closed
ACC_000120,CUST_03650,savings,USD,2539.73,2023-11-02,suspended
ACC_000121,CUST_01997,savings,USD,7114.71,2025-08-20,closed
ACC_000122,CUST_03124,savings,EUR,5957.2,2023-08-14,closed
ACC_000123,CUST_04425,checking,GBP,-3736.4,2022-03-05,suspended
ACC_000124,CUST_03071,checking,EUR,1896.17,2023-10-10,active
ACC_000125,CUST_02428,savings,EUR,-1159.18,2024-04-28,suspended
ACC_000126,CUST_00674,savings,GBP,9666.24,2025-10-01,suspended
ACC_000127,CUST_04368,savings,USD,4484.51,2025-12-23,active
ACC_000128,CUST_01726,savings,USD,5722.1,2023-03-31,closed
ACC_000129,CUST_00851,savings,USD,3940.11,2024-08-09,suspended
ACC_000130,CUST_03565,savings,USD,8308.09,2023-09-20,suspended
ACC_000131,CUST_01259,savings,EUR,7582.12,2024-01-11,suspended
ACC_000132,CUST_02717,savings,GBP,4353.56,2025-01-25,active
ACC_000133,CUST_00444,savings,EUR,10153.98,2023-08-06,suspended
ACC_000134,CUST_00577,savings,EUR,5555.95,2022-09-03,closed
ACC_000135,CUST_03178,checking,USD,619.62,2022-08-09,closed
ACC_000136,CUST_99999,checking,GBP,5300.06,2021-05-24,closed
ACC_000137,CUST_00969,savings,USD,6552.32,2023-11-27,suspended
ACC_000138,CUST_00518,savings,USD,4600.33,2026-02-06,active
ACC_000139,CUST_02930,savings,EUR,3765.55,2025-10-29,suspended
ACC_000140,CUST_02468,savings,EUR,10293.08,2025-06-19,closed
ACC_000141,CUST_03124,checking,USD,$1442.41,2025-10-16,active
ACC_000142,CUST_03882,savings,USD,-3291.14,2025-11-27,active
ACC_000143,CUST_01117,checking,USD,9857.16,2025-05-29,closed
ACC_000144,CUST_01180,checking,USD,1321.86,2025-02-16,suspended
ACC_000145,CUST_03056,savings,USD,4140.15,2022-09-07,suspended
ACC_000146,CUST_01158,savings,GBP,3867.7,2023-07-17,active
ACC_000147,CUST_04691,checking,USD,8695.25,2025-09-12,suspended
ACC_000148,CUST_00697,checking,GBP,9304.57,2022-10-11,suspended
ACC_000149,CUST_02816,savings,EUR,$1122.87,2022-05-14,suspended
ACC_000150,CUST_04198,savings,GBP,9070.73,2024-02-14,active
ACC_000151,CUST_01808,checking,GBP,9015.23,2023-01-22,active
ACC_000152,CUST_01485,savings,USD,5058.06,2025-12-04,closed
ACC_000153,CUST_04502,savings,EUR,7797.63,2024-07-03,suspended
ACC_000154,CUST_00551,checking,GBP,8098.49,2024-09-28,active
ACC_000155,CUST_04756,checking,EUR,4242.72,2022-06-25,closed
ACC_000156,CUST_01050,savings,GBP,4527.3,2021-04-24,closed
ACC_000157,CUST_00571,savings,EUR,6767.98,2021-11-03,closed
ACC_000158,CUST_03691,checking,USD,114.43,2024-09-04,suspended
ACC_000159,CUST_02504,savings,USD,3938.58,2022-04-18,suspended
ACC_000160,CUST_02985,checking,EUR,1398.92,2025-01-06,active
ACC_000161,CUST_00039,checking,GBP,$9270.73,2023-03-18,active
ACC_000162,CUST_03572,checking,EUR,3903.25,2025-08-15,active
ACC_000163,CUST_02716,checking,EUR,5829.12,2023-11-06,closed
ACC_000164,CUST_02938,checking,EUR,4344.76,2024-02-07,suspended
ACC_000165,CUST_00891,savings,USD,4149.55,2025-03-04,suspended
ACC_000166,CUST_00671,checking,GBP,5632.9,2022-04-01,suspended
ACC_000167,CUST_01609,checking,USD,2808.07,2021-10-02,suspended
ACC_000168,CUST_00626,savings,GBP,4404.55,2022-02-10,suspended
ACC_000169,CUST_00255,checking,USD,4382.47,2024-04-06,active
ACC_000170,CUST_00300,checking,USD,$3730.35,2023-06-17,suspended
ACC_000171,CUST_03867,savings,EUR,6173.17,2023-05-26,closed
ACC_000172,CUST_01829,checking,GBP,3659.01,2023-07-15,closed
ACC_000173,CUST_04105,savings,EUR,9833.34,2024-01-02,closed
ACC_000174,CUST_04113,savings,USD,6886.89,2024-01-13,active
ACC_000175,CUST_01358,savings,EUR,952.07,2024-02-09,active
ACC_000176,CUST_01467,savings,USD,$6652.63,2021-08-28,suspended
ACC_000177,CUST_03960,checking,GBP,2931.56,2021-12-31,active
ACC_000178,CUST_99999,savings,GBP,5407.07,2022-04-17,closed
ACC_000179,CUST_03026,savings,GBP,2806.41,2021-10-21,suspended
ACC_000180,CUST_01693,checking,EUR,-1583.21,2025-03-11,closed
ACC_000181,CUST_03724,savings,GBP,4934.8,2024-10-02,suspended
ACC_000182,CUST_02654,savings,USD,696.75,2023-01-03,suspended
ACC_000183,CUST_02240,checking,USD,6259.15,2025-01-23,suspended
ACC_000184,CUST_04670,savings,EUR,5524.35,2023-08-13,suspended
ACC_000185,CUST_03100,checking,USD,3188.35,2025-10-18,suspended
ACC_000186,CUST_00637,checking,EUR,10476.61,2023-07-08,active
ACC_000187,CUST_04230,checking,EUR,1282.14,2021-04-24,closed
ACC_000188,CUST_03988,checking,USD,3126.99,2025-09-15,active
ACC_000189,CUST_04111,savings,EUR,1637.93,2024-12-06,active
ACC_000190,CUST_01884,savings,USD,11123.95,2021-11-30,suspended
ACC_000191,CUST_02300,savings,GBP,9056.73,2023-07-03,active
ACC_000192,CUST_01289,checking,USD,733.63,2021-12-31,suspended
ACC_000193,CUST_00969,savings,EUR,2523.26,2024-03-29,closed
ACC_000194,CUST_00928,checking,USD,2625.02,2022-02-21,closed
ACC_000195,CUST_03924,savings,USD,3347.82,2022-09-21,active
ACC_000196,CUST_03366,savings,GBP,1871.66,2022-08-12,active
ACC_000197,CUST_01047,savings,GBP,3182.75,2024-11-07,suspended
ACC_000198,CUST_04199,savings,USD,8014.62,2022-09-10,active
ACC_000199,CUST_00458,savings,EUR,10840.74,2021-05-03,active
ACC_000200,CUST_04232,checking,USD,366.81,2024-11-20,suspended
ACC_000201,CUST_00152,checking,GBP,1876.68,2024-09-12,active
ACC_000202,CUST_03679,checking,EUR,5640.68,2024-01-29,active
ACC_000203,CUST_01797,checking,USD,259.08,2023-09-08,active
ACC_000204,CUST_04773,savings,USD,5718.3,2023-07-14,suspended
ACC_000205,CUST_04184,checking,GBP,6620.31,2024-10-17,suspended
ACC_000206,CUST_02807,checking,USD,7101.96,2024-04-11,suspended
ACC_000207,CUST_00563,savings,EUR,6536.43,2024-03-31,closed
ACC_000208,CUST_01083,savings,GBP,3394.25,31-02-2020,active
ACC_000209,CUST_04282,checking,GBP,4454.99,2025-08-17,suspended
ACC_000210,CUST_00788,savings,EUR,1461.42,2022-08-31,suspended
ACC_000211,CUST_04913,savings,USD,6393.02,2022-01-08,suspended
ACC_000212,CUST_00962,savings,EUR,9810.08,2025-04-11,suspended
ACC_000213,CUST_01067,savings,USD,6386.6,2024-02-06,suspended
ACC_000214,CUST_03534,checking,EUR,2915.0,2023-10-02,active
ACC_000215,CUST_04340,checking,GBP,7984.38,2023-01-02,closed
ACC_000216,CUST_03123,checking,USD,12096.94,2022-08-16,suspended
ACC_000217,CUST_04719,savings,EUR,5729.45,2023-03-15,active
ACC_000218,CUST_02085,checking,GBP,6663.42,2024-06-15,active
ACC_000219,CUST_02320,checking,EUR,7033.1,2022-06-09,active
ACC_000220,CUST_00044,savings,USD,186.63,2024-02-14,suspended
ACC_000221,CUST_00965,savings,EUR,3766.63,2024-12-31,suspended
ACC_000222,CUST_01682,checking,EUR,3458.4,2022-01-21,closed
ACC_000223,CUST_00873,savings,EUR,7504.6,2025-08-17,suspended
ACC_000224,CUST_04795,checking,EUR,7155.11,2025-05-12,suspended
ACC_000225,CUST_03469,checking,USD,4637.79,2025-02-27,closed
ACC_000226,CUST_03255,savings,EUR,3278.37,2023-12-11,suspended
ACC_000227,CUST_04567,checking,GBP,-59.79,2024-02-01,closed
ACC_000228,CUST_04580,checking,EUR,4953.76,2021-10-01,closed
ACC_000229,CUST_04732,checking,USD,2136.3,2023-02-06,closed
ACC_000230,CUST_01131,savings,USD,1764.5,2021-05-22,active
ACC_000231,CUST_03658,savings,GBP,7778.81,2023-11-26,active
ACC_000232,CUST_04164,checking,EUR,7465.76,2024-04-08,suspended
ACC_000233,CUST_00426,savings,EUR,3534.22,2024-07-24,suspended
ACC_000234,CUST_00043,savings,GBP,292.87,2026-02-08,closed
ACC_000235,CUST_04917,checking,GBP,2522.57,2022-01-09,active
ACC_000236,CUST_99999,savings,EUR,7979.76,2022-02-10,active
ACC_000237,CUST_04989,savings,USD,6403.16,2025-05-27,closed
ACC_000238,CUST_03282,checking,USD,$3584.59,2023-03-22,suspended
ACC_000239,CUST_00470,savings,USD,5176.26,2022-11-28,closed
ACC_000240,CUST_03596,savings,GBP,-1224.47,2021-08-15,suspended
ACC_000241,CUST_04244,checking,GBP,-1451.57,2021-05-10,active
ACC_000242,CUST_04911,savings,USD,10931.38,2024-05-30,active
ACC_000243,CUST_00295,checking,GBP,6519.58,2026-01-01,suspended
ACC_000244,CUST_00002,savings,GBP,5004.99,2023-04-25,closed
ACC_000245,CUST_03272,checking,USD,3809.13,2023-05-15,closed
ACC_000246,CUST_03321,savings,USD,-285.5,2024-09-09,active
ACC_000247,CUST_00562,savings,USD,7979.64,2021-08-03,closed
ACC_000248,CUST_04580,checking,EUR,1589.33,2022-11-17,closed
ACC_000249,CUST_01853,savings,EUR,7112.55,2024-01-13,closed
ACC_000250,CUST_04709,savings,EUR,5396.0,2022-02-23,active
ACC_000251,CUST_03335,savings,USD,4843.72,2025-06-06,active
ACC_000252,CUST_04121,checking,EUR,1092.9,2025-05-11,active
ACC_000253,CUST_04204,checking,USD,1132.85,2022-11-27,suspended
ACC_000254,CUST_02049,checking,EUR,6169.8,2021-07-18,suspended
ACC_000255,CUST_03961,savings,EUR,5237.65,2022-03-22,closed
ACC_000256,CUST_03774,savings,EUR,5141.5,2023-09-01,unknown
ACC_000257,CUST_02112,savings,EUR,5858.12,2023-08-30,suspended
ACC_000258,CUST_01805,savings,EUR,-810.23,2023-08-24,closed
ACC_000259,CUST_02892,savings,USD,8045.43,2022-03-07,closed
ACC_000260,CUST_02033,checking,GBP,3932.3,2022-05-04,closed
ACC_000261,CUST_02801,savings,USD,8508.94,2022-11-20,active
ACC_000262,CUST_03903,checking,EUR,-1024.97,2024-01-17,active
ACC_000263,CUST_04699,checking,GBP,$6707.08,2022-05-19,suspended
ACC_000264,CUST_01557,checking,USD,6678.74,2025-07-17,active
ACC_000265,CUST_01923,savings,EUR,541.6,2021-12-01,active
ACC_000266,CUST_01877,savings,GBP,3082.23,2022-06-24,suspended
ACC_000267,CUST_02916,savings,GBP,1821.48,2023-04-07,active
ACC_000268,CUST_00642,checking,USD,7589.64,2021-09-16,active
ACC_000269,CUST_04435,savings,EUR,5926.67,2025-03-29,closed
ACC_000270,CUST_02583,checking,USD,9796.55,2024-01-21,closed
ACC_000271,CUST_04020,savings,USD,5608.86,2025-07-26,closed
ACC_000272,CUST_03259,savings,USD,7196.73,2021-04-21,active
ACC_000273,CUST_00443,checking,EUR,8516.03,2023-01-08,unknown
ACC_000274,CUST_00266,checking,EUR,6663.28,2023-06-22,suspended
ACC_000275,CUST_01431,checking,GBP,3847.45,2024-01-11,suspended
ACC_000276,CUST_04245,checking,EUR,3289.12,2021-03-10,suspended
ACC_000277,CUST_00068,savings,USD,$4760.8,2022-09-14,active
ACC_000278,CUST_03108,savings,EUR,7389.75,2025-06-15,closed
ACC_000279,CUST_02127,savings,USD,2701.69,2025-07-22,closed
ACC_000280,CUST_01942,checking,EUR,$6956.46,2023-02-16,suspended
ACC_000281,CUST_02810,checking,GBP,5967.9,2024-01-17,closed
ACC_000282,CUST_03472,savings,EUR,1240.08,2021-07-26,suspended
ACC_000283,CUST_03049,checking,EUR,6810.61,2021-12-03,closed
ACC_000284,CUST_03692,savings,USD,5425.76,2025-06-05,active
ACC_000285,CUST_04717,savings,GBP,3348.43,31-02-2020,suspended
ACC_000286,CUST_99999,savings,USD,5382.29,2025-02-04,closed
ACC_000287,CUST_03120,savings,GBP,3465.05,2022-03-22,suspended
ACC_000288,CUST_01225,checking,GBP,$5743.02,31-02-2020,active
ACC_000289,CUST_03453,checking,GBP,4496.12,2023-01-08,suspended
ACC_000290,CUST_04235,checking,EUR,410.23,2024-03-03,closed
ACC_000291,CUST_02055,savings,EUR,4585.89,2025-02-21,active
ACC_000292,CUST_01338,savings,GBP,3671.95,2021-07-01,closed
ACC_000293,CUST_03903,savings,EUR,6906.76,2022-01-20,suspended
ACC_000294,CUST_02741,checking,EUR,7639.31,2024-09-06,closed
ACC_000295,CUST_04590,checking,EUR,3472.99,2024-10-11,active
ACC_000296,CUST_03373,savings,EUR,2631.81,2022-05-14,suspended
ACC_000297,CUST_99999,savings,USD,-40.46,2021-09-16,suspended
ACC_000298,CUST_04410,savings,EUR,2557.89,2025-04-17,closed
ACC_000299,CUST_02663,checking,USD,4030.19,2022-03-17,closed
ACC_000300,CUST_00642,checking,USD,982.21,2022-10-08,closed
ACC_000301,CUST_03799,savings,GBP,7679.41,2022-06-25,suspended
ACC_000302,CUST_02763,checking,USD,5786.49,2024-03-27,suspended
ACC_000303,CUST_04682,checking,GBP,4638.75,2025-05-13,active
ACC_000304,CUST_01327,checking,GBP,4949.99,2026-02-16,closed
ACC_000305,CUST_02595,checking,USD,5918.13,2023-08-06,closed
ACC_000306,CUST_04959,checking,EUR,6899.28,2021-04-02,closed
ACC_000307,CUST_02975,checking,EUR,7427.02,2025-10-12,active
ACC_000308,CUST_01506,savings,GBP,4072.61,2021-10-20,suspended
ACC_000309,CUST_01922,checking,USD,4574.2,2021-07-13,suspended
ACC_000310,CUST_00655,savings,GBP,5518.91,2021-11-30,closed
ACC_000311,CUST_00843,savings,GBP,4451.72,2023-10-07,closed
ACC_000312,CUST_04492,savings,GBP,7616.95,2024-05-11,closed
ACC_000313,CUST_04292,savings,GBP,8681.97,2025-02-15,closed
ACC_000314,CUST_01272,savings,USD,6032.22,2023-11-06,closed
ACC_000315,CUST_02534,savings,GBP,2275.43,2024-10-19,suspended
ACC_000316,CUST_02327,checking,USD,6525.2,2021-10-10,active
ACC_000317,CUST_01075,savings,GBP,6151.1,2024-06-26,active
ACC_000318,CUST_02923,checking,EUR,2023.87,2025-06-08,closed
ACC_000319,CUST_04428,checking,USD,6147.8,2022-05-25,closed
ACC_000320,CUST_01106,savings,USD,3367.43,2024-02-18,suspended
ACC_000321,CUST_03740,checking,USD,7238.28,2023-05-06,suspended
ACC_000322,CUST_04372,checking,EUR,6500.81,2022-02-18,closed
ACC_000323,CUST_04420,savings,GBP,5668.96,2025-07-28,closed
ACC_000324,CUST_02522,checking,EUR,5115.64,2025-05-12,closed
ACC_000325,CUST_01275,checking,GBP,-1400.12,2022-03-27,active
ACC_000326,CUST_04287,savings,EUR,1357.17,2025-10-09,closed
ACC_000327,CUST_03843,savings,USD,4607.6,2021-07-22,closed
ACC_000328,CUST_03908,checking,GBP,9558.15,2021-10-25,closed
ACC_000329,CUST_02399,savings,GBP,6694.04,2022-01-18,suspended
ACC_000330,CUST_03060,savings,EUR,10442.14,2021-07-17,suspended
ACC_000331,CUST_03580,checking,GBP,5248.96,2022-10-20,active
ACC_000332,CUST_03192,checking,GBP,4907.45,2022-04-05,closed
ACC_000333,CUST_00648,checking,USD,9275.38,2022-12-30,active
ACC_000334,CUST_04232,checking,EUR,4522.36,2024-12-14,suspended
ACC_000335,CUST_04357,checking,EUR,2040.59,2023-10-31,active
ACC_000336,CUST_00560,savings,GBP,5950.26,2021-05-12,closed
ACC_000337,CUST_00904,checking,USD,8367.54,2022-12-14,closed
ACC_000338,CUST_02229,checking,GBP,2522.16,2023-12-22,closed
ACC_000339,CUST_00158,savings,GBP,6767.13,2025-12-16,suspended
ACC_000340,CUST_00181,savings,GBP,4720.29,2025-10-24,closed
ACC_000341,CUST_02205,savings,USD,6354.05,2023-12-13,closed
ACC_000342,CUST_00067,savings,GBP,5940.6,2023-03-08,active
ACC_000343,CUST_00120,checking,GBP,3757.09,2023-09-03,closed
ACC_000344,CUST_03442,checking,EUR,4681.44,2022-07-22,closed
ACC_000345,CUST_03798,savings,EUR,3940.32,2021-07-04,active
ACC_000346,CUST_01196,savings,EUR,5356.24,2021-08-28,closed
ACC_000347,CUST_00584,checking,GBP,2461.71,31-02-2020,active
ACC_000348,CUST_02048,checking,GBP,3178.75,2024-09-29,active
ACC_000349,CUST_02039,checking,EUR,3758.12,2025-01-08,active
ACC_000350,CUST_00274,savings,EUR,6175.11,2022-03-17,suspended
ACC_000351,CUST_00769,savings,EUR,753.4,2023-08-04,closed
ACC_000352,CUST_02556,checking,GBP,4678.61,2022-09-16,suspended
ACC_000353,CUST_00345,savings,EUR,2875.37,2022-03-31,closed
ACC_000354,CUST_99999,savings,EUR,3765.76,2022-08-22,active
ACC_000355,CUST_01784,savings,GBP,3019.49,2022-01-24,suspended
ACC_000356,CUST_03556,checking,GBP,5583.72,2024-10-04,active
ACC_000357,CUST_02261,savings,EUR,4528.66,2022-02-19,active
ACC_000358,CUST_00073,savings,USD,7134.83,2025-05-12,suspended
ACC_000359,CUST_03893,savings,EUR,6205.19,2025-06-06,active
ACC_000360,CUST_02037,savings,EUR,388.86,2021-06-16,active
ACC_000361,CUST_02772,savings,GBP,2120.0,2023-08-08,closed
ACC_000362,CUST_99999,savings,GBP,4480.68,2025-07-28,closed
ACC_000363,CUST_01906,checking,USD,4871.19,2025-08-26,suspended
ACC_000364,CUST_02845,checking,USD,2384.66,2022-11-16,active
ACC_000365,CUST_00174,checking,EUR,8911.92,2025-11-16,suspended
ACC_000366,CUST_01103,checking,GBP,7594.06,2022-12-03,closed
ACC_000367,CUST_03584,checking,USD,65.78,2025-07-17,suspended
ACC_000368,CUST_04014,savings,USD,6036.28,2023-02-27,active
ACC_000369,CUST_04453,checking,EUR,4862.61,2024-05-06,suspended
ACC_000370,CUST_03837,checking,USD,8731.63,2021-03-04,suspended
ACC_000371,CUST_01313,savings,USD,290.35,2025-07-03,active
ACC_000372,CUST_03681,checking,EUR,11179.56,2024-04-02,suspended
ACC_000373,CUST_03007,checking,GBP,2471.16,2025-07-23,suspended
ACC_000374,CUST_04144,checking,USD,6135.58,2023-05-18,unknown
ACC_000375,CUST_00153,checking,USD,3180.93,2021-02-28,active
ACC_000376,CUST_02627,savings,USD,3871.52,2022-01-26,suspended
ACC_000377,CUST_03174,savings,USD,-68.25,2022-02-10,suspended
ACC_000378,CUST_04075,savings,USD,8590.66,2025-07-15,closed
ACC_000379,CUST_02642,checking,USD,4191.06,2024-03-21,closed
ACC_000380,CUST_00904,savings,USD,4395.03,2023-08-12,suspended
ACC_000381,CUST_00546,savings,GBP,11937.45,2022-06-20,active
ACC_000382,CUST_00256,savings,GBP,7878.33,2021-04-28,closed
ACC_000383,CUST_01569,savings,GBP,2994.92,2023-05-26,suspended
ACC_000384,CUST_03183,checking,USD,3169.23,2022-09-03,suspended
ACC_000385,CUST_04835,checking,GBP,5779.4,2024-06-21,closed
ACC_000386,CUST_99999,savings,GBP,7312.19,2022-12-21,active
ACC_000387,CUST_04025,savings,EUR,10257.33,2024-03-05,suspended
ACC_000388,CUST_00497,checking,USD,175.7,2022-07-05,suspended
ACC_000389,CUST_03407,checking,USD,7181.06,2022-01-29,active
